Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,350,,982.8,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,350,,1075,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,400,,215,,,,,tile was flipped ,
,35,Control.none,Control,0,0,none,2,5/15/2019,NA,,1911,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,350,,910.9,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,350,,781.3,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,450,,1342,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,450,,1705,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,400,,1701,,,,,,
,1,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,100,,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,350,,,,,,,,
,4,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,5,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,6,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,7,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,8,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,250,,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,300,,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,250,,,,,,,,
,13,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,400,,,,,,,,
,15,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,200,,,,,,,had snails from 15. split big ones in 2. tiny snails and detritus in 16. ,
,17,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,350,,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,250,,,,,,,,
,19,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,3,5/21/2019,350,,,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,200,,,,,,,,
,22,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,23,Control.chop,Control,0,1,chop,3,5/21/2019,NA,,,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,250,,,,,,,,
,28,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,29,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,3,5/22/2019,350,,,,,,,,
